"","x"
"1669","0"
"1670","2"
"1671","6"
"1672","3"
"1673","1"
"1674","6"
"1675","3"
"1676","11"
"1677","17"
"1678","1"
"1679","9"
"1680","0"
"1681","7"
"1682","5"
"1683","1"
"1684","0"
"1685","12"
"1686","7"
"1687","8"
"1688","1"
"1689","0"
"1690","0"
"1691","3"
"1692","4"
"1693","4"
"1694","1"
"1695","2"
"1696","4"
"1697","13"
"1698","1"
"1699","1"
"1700","6"
"1701","0"
"1702","0"
"1703","1"
"1704","2"
"1705","7"
"1706","4"
"1707","3"
"1708","17"
"1709","0"
"1710","9"
"1711","11"
"1712","5"
"1713","2"
"1714","0"
"1715","0"
"1716","1"
"1717","1"
"1718","2"
"1719","7"
"1720","1"
"1721","0"
"1722","4"
"1723","1"
"1724","10"
"1725","3"
"1726","1"
"1727","5"
"1728","11"
"1729","6"
"1730","4"
"1731","15"
"1732","11"
"1733","4"
"1734","5"
"1735","0"
"1736","9"
"1737","7"
"1738","12"
"1739","3"
"1740","15"
"1741","6"
"1742","10"
"1743","2"
"1744","13"
"1745","11"
"1746","12"
"1747","4"
"1748","12"
"1749","12"
"1750","11"
"1751","2"
"1752","7"
"1753","3"
"1754","1"
"1755","0"
"1756","1"
"1757","10"
"1758","2"
"1759","9"
"1760","0"
"1761","1"
"1762","0"
"1763","1"
"1764","0"
"1765","4"
"1766","0"
"1767","2"
"1768","9"
"1769","10"
"1770","0"
"1771","0"
"1772","5"
"1773","2"
"1774","2"
"1775","0"
"1776","0"
"1777","14"
"1778","4"
"1779","2"
"1780","1"
"1781","4"
"1782","15"
"1783","2"
"1784","2"
"1785","1"
"1786","9"
"1787","2"
"1788","10"
"1789","16"
"1790","3"
"1791","1"
"1792","7"
"1793","0"
"1794","3"
"1795","1"
"1796","5"
"1797","6"
"1798","8"
"1799","11"
"1800","5"
"1801","3"
"1802","1"
"1803","3"
"1804","0"
"1805","1"
"1806","6"
"1807","0"
"1808","4"
"1809","7"
"1810","13"
"1811","9"
"1812","13"
"1813","2"
"1814","3"
"1815","2"
"1816","0"
"1817","4"
"1818","9"
"1819","0"
"1820","14"
"1821","1"
"1822","1"
"1823","7"
"1824","6"
"1825","7"
"1826","11"
"1827","0"
"1828","11"
"1829","3"
"1830","0"
"1831","6"
"1832","16"
"1833","2"
"1834","3"
"1835","8"
"1836","3"
"1837","2"
"1838","2"
"1839","3"
"1840","17"
"1841","0"
"1842","1"
"1843","0"
"1844","1"
"1845","3"
"1846","10"
"1847","3"
"1848","2"
"1849","3"
"1850","6"
"1851","0"
"1852","9"
"1853","8"
"1854","10"
"1855","16"
"1856","8"
"1857","7"
"1858","13"
"1859","6"
"1860","0"
"1861","2"
"1862","12"
"1863","2"
"1864","7"
"1865","3"
"1866","4"
"1867","1"
"1868","4"
"1869","12"
"1870","7"
"1871","8"
"1872","1"
"1873","8"
"1874","1"
"1875","12"
"1876","7"
"1877","12"
"1878","1"
"1879","9"
"1880","7"
"1881","2"
"1882","16"
"1883","12"
"1884","0"
"1885","4"
"1886","0"
"1887","1"
"1888","2"
"1889","3"
"1890","2"
"1891","5"
"1892","18"
"1893","15"
"1894","3"
"1895","1"
"1896","10"
"1897","2"
"1898","9"
"1899","17"
"1900","8"
"1901","6"
"1902","2"
"1903","12"
"1904","7"
"1905","1"
"1906","18"
"1907","9"
"1908","3"
"1909","0"
"1910","15"
"1911","1"
"1912","0"
"1913","2"
"1914","1"
"1915","0"
"1916","0"
"1917","1"
"1918","4"
"1919","10"
"1920","10"
"1921","1"
"1922","6"
"1923","2"
"1924","9"
"1925","0"
"1926","10"
"1927","3"
"1928","3"
"1929","4"
"1930","1"
"1931","11"
"1932","1"
"1933","6"
"1934","7"
"1935","8"
"1936","2"
"1937","8"
"1938","1"
"1939","3"
"1940","0"
"1941","4"
"1942","2"
"1943","2"
"1944","1"
"1945","13"
"1946","11"
"1947","12"
"1948","8"
"1949","9"
"1950","3"
"1951","7"
"1952","1"
"1953","9"
"1954","0"
"1955","1"
"1956","2"
"1957","7"
"1958","7"
"1959","6"
"1960","1"
"1961","1"
"1962","11"
"1963","11"
"1964","0"
"1965","14"
"1966","3"
"1967","4"
"1968","2"
"1969","3"
"1970","3"
"1971","1"
"1972","4"
"1973","4"
"1974","12"
"1975","0"
"1976","3"
"1977","1"
"1978","0"
"1979","11"
"1980","0"
"1981","0"
"1982","6"
"1983","13"
"1984","15"
"1985","3"
"1986","17"
"1987","8"
"1988","1"
"1989","8"
"1990","18"
"1991","0"
"1992","1"
"1993","2"
"1994","13"
"1995","5"
"1996","1"
"1997","14"
"1998","1"
"1999","15"
"2000","13"
"2001","2"
"2002","1"
"2003","0"
"2004","0"
"2005","5"
"2006","5"
"2007","8"
"2008","9"
"2009","8"
"2010","10"
"2011","0"
"2012","6"
"2013","4"
"2014","2"
"2015","0"
"2016","1"
"2017","0"
"2018","1"
"2019","6"
"2020","0"
"2021","6"
"2022","3"
"2023","1"
"2024","9"
"2025","7"
"2026","11"
"2027","11"
"2028","9"
"2029","17"
"2030","0"
"2031","6"
"2032","4"
"2033","7"
"2034","4"
"2035","3"
"2036","0"
"2037","10"
"2038","11"
"2039","6"
"2040","11"
"2041","13"
"2042","5"
"2043","2"
"2044","12"
"2045","2"
"2046","0"
"2047","2"
"2048","1"
"2049","14"
"2050","9"
"2051","4"
"2052","7"
"2053","1"
"2054","2"
"2055","9"
"2056","1"
"2057","4"
"2058","7"
"2059","1"
"2060","5"
"2061","0"
"2062","1"
"2063","4"
"2064","2"
"2065","10"
"2066","9"
"2067","9"
"2068","3"
"2069","10"
"2070","2"
"2071","4"
"2072","18"
"2073","1"
"2074","9"
"2075","0"
"2076","5"
"2077","0"
"2078","9"
"2079","5"
"2080","9"
"2081","4"
"2082","5"
"2083","2"
"2084","0"
"2085","4"
"2086","9"
"2087","11"
"2088","1"
"2089","0"
"2090","0"
"2091","2"
"2092","3"
"2093","3"
"2094","5"
"2095","1"
"2096","5"
"2097","9"
"2098","2"
"2099","10"
"2100","7"
"2101","0"
"2102","5"
"2103","5"
"2104","11"
"2105","8"
"2106","7"
"2107","2"
"2108","1"
"2109","12"
"2110","0"
"2111","0"
"2112","7"
"2113","19"
"2114","9"
"2115","1"
"2116","4"
"2117","1"
"2118","6"
"2119","1"
"2120","11"
"2121","10"
"2122","3"
"2123","3"
"2124","4"
"2125","1"
"2126","0"
"2127","9"
"2128","1"
"2129","6"
"2130","6"
"2131","11"
"2132","16"
"2133","6"
"2134","8"
"2135","4"
"2136","3"
"2137","0"
"2138","0"
"2139","15"
